obs_id,true_value,meas_value,corr_value,diff(%)
4, -5.81942  -2.72615 -0.291101  0.392372, -6.15255  -2.78056 -0.283289  0.344738, -6.11623   -2.7242 -0.283289  0.344738,   5.10047 -0.0714953   -2.68353   -12.1399
16,  2.38371   12.3449 -0.206128  0.390511,  2.46432   12.4725 -0.235606  0.374565,  2.49806   12.4239 -0.235606  0.374565, 4.79701 0.639532  14.3008 -4.08335
17,  9.12493  -2.32381 -0.493217 -0.342972,  9.62605   -1.8229 -0.485061  -0.32565,  9.41778  -1.96151 -0.485061  -0.32565, 3.20933 -15.5905 -1.65363 -5.05066
18, 4.98888  5.13981 -0.38613 0.451551,  5.39649   5.31912 -0.358997  0.429385,   5.3073    5.2045 -0.358997  0.429385, 6.38251  1.25867  -7.0268 -4.90874
0,  4.00158   4.24175 -0.248269  0.439914,  3.89061   3.82502 -0.236906   0.45065,  3.90248   3.93525 -0.236906   0.45065,-2.47651 -7.22574 -4.57719  2.44051
4, -5.82912  -2.71307 -0.291101  0.392372, -5.92467  -2.85237 -0.346736  0.364955, -5.96992  -2.82092 -0.346736  0.364955, 2.41554  3.97518  19.1117 -6.98744
16,  2.37684    12.358 -0.206128  0.390511, 2.21845  12.4305 -0.17597 0.375046, 2.27964  12.4318 -0.17597 0.375046,-4.08963 0.597441 -14.6307 -3.96022
17,  9.10849  -2.33524 -0.493217 -0.342972,  8.68458  -2.06467 -0.452348  -0.29254,  8.84602  -2.04389 -0.452348  -0.29254,-2.88163 -12.4763 -8.28627 -14.7045
18, 4.97601  5.15486 -0.38613 0.451551,   5.0619   5.08156 -0.440778  0.446471,  5.11445   5.11247 -0.440778  0.446471,  2.78222 -0.822476   14.1527  -1.12486
0,   3.9933   4.25641 -0.248269  0.439914,  3.93953   3.83585 -0.303015   0.50072,  3.92941   3.86161 -0.303015   0.50072,-1.59994 -9.27549  22.0511  13.8222
16,  2.36997    12.371 -0.206128  0.390511,  2.66909   12.2535 -0.186432  0.356226,  2.58009   12.2965 -0.186432  0.356226,  8.86585 -0.602448  -9.55508  -8.77952
17,  9.09205  -2.34667 -0.493217 -0.342972,  8.88486  -2.33739 -0.487351 -0.312681,  8.87272   -2.2735 -0.487351 -0.312681,-2.41233 -3.11804 -1.18934 -8.83194
18, 4.96314  5.16992 -0.38613 0.451551,  4.79278   4.88748 -0.338442   0.46541,   4.8619   4.94149 -0.338442   0.46541,-2.03985 -4.41841 -12.3503  3.06935
0,  3.98503   4.27108 -0.248269  0.439914,  4.32044   4.79771 -0.310827  0.421218,  4.23013   4.59071 -0.310827  0.421218, 6.15056  7.48364  25.1973 -4.24993
16,   2.3631    12.384 -0.206128  0.390511,  2.36692   12.5752 -0.188447  0.436628,  2.41351   12.5151 -0.188447  0.436628, 2.13337  1.05847 -8.57771  11.8094
17,  9.07561   -2.3581 -0.493217 -0.342972,  9.36549  -2.40032  -0.48917 -0.386423,  9.25089  -2.37411  -0.48917 -0.386423,  1.93133  0.678846 -0.820521   12.6689
18, 4.95027  5.18497 -0.38613 0.451551,  5.35421    5.1605 -0.385624  0.420408,  5.24083   5.11468 -0.385624  0.420408,  5.86955  -1.35552 -0.131125  -6.89677
0,  3.97675   4.28574 -0.248269  0.439914,  3.95813   4.44045 -0.236589  0.482859,  4.01704   4.47744 -0.236589  0.482859,1.01303 4.47303 -4.7045 9.76204
16,  2.35623    12.397 -0.206128  0.390511,  2.63445   12.4562 -0.173475  0.374724,  2.58329   12.4727 -0.173475  0.374724, 9.63675 0.610629 -15.8413 -4.04268
17,  9.05917  -2.36954 -0.493217 -0.342972,  8.69448  -2.72158 -0.533326 -0.310184,  8.81608  -2.64625 -0.533326 -0.310184,-2.68331  11.6778  8.13207 -9.55996
18,  4.9374  5.20002 -0.38613 0.451551,   4.6213   5.36335 -0.384187  0.399579,  4.75789   5.31052 -0.384187  0.399579, -3.63568   2.12504 -0.503081  -11.5096
0,  3.96848   4.30041 -0.248269  0.439914,  4.15641   4.49058 -0.270374  0.451178,  4.12325   4.49125 -0.270374  0.451178, 3.9001 4.43778 8.90341 2.56053
